Generation,Fittest Individual
0,37.0973
1,37.0973
2,37.0973
3,37.0973
4,37.515
5,37.6187
6,37.6187
7,37.6187
8,37.6187
9,37.6187
10,37.6187
11,37.6187
12,37.6187
13,37.6187
14,37.6187
15,37.6187
16,37.6187
17,37.6187
18,37.6187
19,37.6187
20,37.6187
21,37.6187
22,37.6187
23,37.8905
24,37.8905
25,37.8905
26,37.8905
27,37.8905
28,37.8905
29,37.8905
30,37.8905
31,37.8905
32,37.8905
33,37.9007
34,37.9213
35,37.9213
36,37.9213
37,37.9213
38,37.9213
39,37.9213
40,37.9213
41,37.9815
42,37.9815
43,37.9815
44,37.9815
45,37.9815
46,37.9815
47,37.9815
48,37.9815
49,37.9815
50,37.9815
51,37.9815
52,37.9815
53,37.9815
54,37.9815
55,37.9815
56,37.9815
57,37.9815
58,37.9815
59,37.9815
60,37.9815
61,37.9815
62,37.9815
63,37.9815
64,37.9815
65,37.9815
66,37.9815
67,37.9844
68,37.9974
69,37.9974
70,37.9974
71,37.9974
72,37.9976
73,37.9999
74,37.9999
75,38.0149
76,38.0245
77,38.0245
78,38.0245
79,38.0245
80,38.0249
81,38.0254
82,38.0254
83,38.0254
84,38.0254
85,38.0254
86,38.0255
87,38.0255
88,38.0255
89,38.0255
90,38.0255
91,38.0255
92,38.0256
93,38.0256
94,38.0256
95,38.0256
96,38.0256
97,38.0256
98,38.0256
99,38.0256
100,38.0256
101,38.0256
102,38.0256
103,38.0257
104,38.0257
105,38.0257
106,38.0257
107,38.0257
108,38.0257
109,38.0257
110,38.0257
111,38.0257
112,38.0257
113,38.0257
114,38.0257
115,38.0257
116,38.0257
117,38.0257
118,38.0257
119,38.0257
120,38.0257
121,38.0257
122,38.0257
123,38.0257
124,38.0257
125,38.0257
126,38.0257
127,38.0257
128,38.0257
129,38.0257
130,38.0257
131,38.0257
132,38.0257
133,38.0257
134,38.0257
135,38.0257
136,38.0257
137,38.0257
138,38.0257
139,38.0257
140,38.0257
141,38.0257
142,38.0257
143,38.0257
144,38.0257
145,38.0257
146,38.0257
147,38.0257
148,38.0257
149,38.0257
150,38.0257
151,38.0257
152,38.0257
153,38.0257
154,38.0257
155,38.0257
156,38.0257
157,38.0257
158,38.0257
159,38.0257
160,38.0257
161,38.0257
162,38.0257
163,38.0257
164,38.0257
