Generation,Standard Deviation
344,3.33955e-13
345,3.33955e-13
346,3.33955e-13
347,3.33955e-13
348,3.33955e-13
349,3.33955e-13
350,3.33955e-13
351,3.33955e-13
352,3.33955e-13
353,3.33955e-13
354,3.33955e-13
355,3.33955e-13
356,3.33955e-13
357,3.33955e-13
358,3.33955e-13
359,3.33955e-13
360,3.33955e-13
361,3.33955e-13
362,3.33955e-13
363,3.33955e-13
364,3.33955e-13
365,3.33955e-13
366,3.33955e-13
367,3.33955e-13
368,3.33955e-13
369,3.33955e-13
370,3.33955e-13
371,3.33955e-13
372,3.33955e-13
373,3.33955e-13
374,3.33955e-13
375,3.33955e-13
376,3.33955e-13
377,3.33955e-13
378,3.33955e-13
379,3.33955e-13
380,3.33955e-13
381,3.33955e-13
382,3.33955e-13
383,3.33955e-13
384,3.33955e-13
385,3.33955e-13
386,3.33955e-13
387,3.33955e-13
388,3.33955e-13
389,3.33955e-13
390,3.33955e-13
391,3.33955e-13
392,3.33955e-13
393,3.33955e-13
394,3.33955e-13
395,3.33955e-13
396,3.33955e-13
397,3.33955e-13
398,3.33955e-13
399,3.33955e-13
400,3.33955e-13
401,3.33955e-13
402,3.33955e-13
403,3.33955e-13
404,3.33955e-13
405,3.33955e-13
406,3.33955e-13
407,3.33955e-13
408,3.33955e-13
409,3.33955e-13
410,3.33955e-13
411,3.33955e-13
412,3.33955e-13
413,3.33955e-13
414,3.33955e-13
415,3.33955e-13
416,3.33955e-13
417,3.33955e-13
418,3.33955e-13
419,3.33955e-13
420,3.33955e-13
421,3.33955e-13
422,3.33955e-13
423,3.33955e-13
424,3.33955e-13
425,3.33955e-13
426,3.33955e-13
427,3.33955e-13
428,3.33955e-13
429,3.33955e-13
430,3.33955e-13
431,3.33955e-13
432,3.33955e-13
433,3.33955e-13
434,3.33955e-13
435,3.33955e-13
436,3.33955e-13
437,3.33955e-13
438,3.33955e-13
439,3.33955e-13
440,3.33955e-13
441,3.33955e-13
442,3.33955e-13
443,3.33955e-13
444,3.33955e-13
445,3.33955e-13
446,3.33955e-13
447,3.33955e-13
448,3.33955e-13
449,3.33955e-13
450,3.33955e-13
451,3.33955e-13
452,3.33955e-13
453,3.33955e-13
454,3.33955e-13
455,3.33955e-13
456,3.33955e-13
457,3.33955e-13
458,3.33955e-13
459,3.33955e-13
460,3.33955e-13
461,3.33955e-13
462,3.33955e-13
463,3.33955e-13
464,3.33955e-13
465,3.33955e-13
466,3.33955e-13
467,3.33955e-13
468,3.33955e-13
469,3.33955e-13
470,3.33955e-13
471,3.33955e-13
472,3.33955e-13
473,3.33955e-13
474,3.33955e-13
475,3.33955e-13
476,3.33955e-13
477,3.33955e-13
478,3.33955e-13
479,3.33955e-13
480,3.33955e-13
481,3.33955e-13
482,3.33955e-13
483,3.33955e-13
484,3.33955e-13
485,3.33955e-13
486,3.33955e-13
487,3.33955e-13
488,3.33955e-13
489,3.33955e-13
490,3.33955e-13
491,3.33955e-13
492,3.33955e-13
493,3.33955e-13
494,3.33955e-13
495,3.33955e-13
496,3.33955e-13
497,3.33955e-13
498,3.33955e-13
499,3.33955e-13
